IOU, x1, x2, y1, y2, filename
1.0, 108, 205, 52, 151, ./Images/airplane_153.jpg
0.4821263006078088, 106, 198, 71, 123, ./Images/airplane_153.jpg
0.14445271779597915, 102, 216, 121, 239, ./Images/airplane_153.jpg
0.1578363104248663, 99, 154, 103, 137, ./Images/airplane_153.jpg
0.3183279742765273, 149, 182, 52, 171, ./Images/airplane_153.jpg
0.12091503267973856, 157, 190, 37, 89, ./Images/airplane_153.jpg
0.3337667967056784, 88, 178, 48, 249, ./Images/airplane_153.jpg
0.27475064647210934, 166, 201, 17, 137, ./Images/airplane_153.jpg
0.057817371937639195, 52, 167, 129, 252, ./Images/airplane_153.jpg
0.24844402762383835, 174, 219, 34, 146, ./Images/airplane_153.jpg
0.24432953343518626, 163, 234, 49, 212, ./Images/airplane_153.jpg
0.03869908529434759, 47, 118, 14, 253, ./Images/airplane_153.jpg
0.1966178697627461, 81, 165, 110, 165, ./Images/airplane_153.jpg
0.20417143360028162, 64, 166, 88, 128, ./Images/airplane_153.jpg
0.08188658469443935, 87, 254, 128, 247, ./Images/airplane_153.jpg
0.06543125142987874, 62, 174, 138, 177, ./Images/airplane_153.jpg
0.02658911508101371, 200, 243, 71, 135, ./Images/airplane_153.jpg
0.0020132117017930165, 47, 140, 150, 218, ./Images/airplane_153.jpg
0.38936276969392875, 51, 214, 95, 155, ./Images/airplane_153.jpg
0.2606735728837068, 35, 226, 12, 114, ./Images/airplane_153.jpg
0.08911313246162593, 186, 245, 85, 182, ./Images/airplane_153.jpg
0.1791044776119403, 169, 253, 44, 209, ./Images/airplane_153.jpg
0.1693134049509575, 27, 166, 27, 102, ./Images/airplane_153.jpg
0.43491701919947934, 83, 189, 29, 188, ./Images/airplane_153.jpg
0.16714140028835672, 2, 231, 102, 205, ./Images/airplane_153.jpg
0.05045508508112386, 154, 247, 136, 204, ./Images/airplane_153.jpg
0.10791178587788758, 58, 249, 117, 244, ./Images/airplane_153.jpg
0.09338808655931344, 38, 200, 129, 216, ./Images/airplane_153.jpg
0.12444318744255109, 125, 209, 129, 204, ./Images/airplane_153.jpg
0.1339585666293393, 37, 137, 23, 170, ./Images/airplane_153.jpg
0.15282570698695827, 143, 247, 96, 251, ./Images/airplane_153.jpg
0.11230447632091112, 186, 233, 69, 193, ./Images/airplane_153.jpg
0.016288149112127955, 2, 220, 147, 214, ./Images/airplane_153.jpg
0.19890163667011038, 146, 244, 89, 216, ./Images/airplane_153.jpg
0.04177215189873418, 198, 238, 51, 243, ./Images/airplane_153.jpg
0.054936449611469186, 167, 237, 127, 240, ./Images/airplane_153.jpg
0.0611438425061072, 103, 145, 128, 251, ./Images/airplane_153.jpg
0.2037851879340508, 143, 234, 89, 233, ./Images/airplane_153.jpg
0.01845049970103357, 196, 254, 36, 76, ./Images/airplane_153.jpg
0.02888479571332887, 98, 177, 146, 180, ./Images/airplane_153.jpg
0.13351648351648351, 151, 254, 115, 182, ./Images/airplane_153.jpg
0.1341437853699434, 165, 216, 103, 233, ./Images/airplane_153.jpg
0.023809523809523808, 92, 251, 145, 242, ./Images/airplane_153.jpg
0.2237348327907665, 160, 224, 67, 240, ./Images/airplane_153.jpg
0.3100671140939597, 20, 199, 47, 206, ./Images/airplane_153.jpg
0.09072196386368835, 135, 233, 134, 182, ./Images/airplane_153.jpg
0.404229702141025, 127, 206, 32, 250, ./Images/airplane_153.jpg
0.3218049728844776, 108, 193, 50, 89, ./Images/airplane_153.jpg
0.3032590159792838, 96, 238, 27, 250, ./Images/airplane_153.jpg
0.04775510204081632, 196, 243, 60, 238, ./Images/airplane_153.jpg
0.28064772037892577, 3, 226, 34, 114, ./Images/airplane_153.jpg
0.49599198396793587, 123, 178, 36, 160, ./Images/airplane_153.jpg
0.052980132450331126, 187, 239, 115, 178, ./Images/airplane_153.jpg
0.03680547363454052, 66, 121, 103, 248, ./Images/airplane_153.jpg
0.026745119015779622, 193, 251, 126, 159, ./Images/airplane_153.jpg
1.0, 109, 130, 29, 56, ./Images/airplane_043.jpg
1.0, 108, 129, 69, 97, ./Images/airplane_043.jpg
1.0, 104, 126, 110, 138, ./Images/airplane_043.jpg
1.0, 97, 118, 150, 176, ./Images/airplane_043.jpg
0.05737704918032787, 50, 144, 152, 245, ./Images/airplane_043.jpg
0.0019743336623889436, 7, 98, 52, 191, ./Images/airplane_043.jpg
0.07334206453149185, 4, 231, 102, 139, ./Images/airplane_043.jpg
0.03784602076124567, 83, 254, 151, 232, ./Images/airplane_043.jpg
0.042105263157894736, 64, 169, 160, 234, ./Images/airplane_043.jpg
0.060923309788092836, 92, 213, 153, 218, ./Images/airplane_043.jpg
0.17826825127334464, 95, 163, 151, 194, ./Images/airplane_043.jpg
0.035454545454545454, 52, 227, 150, 238, ./Images/airplane_043.jpg
0.0035825173155003584, 121, 187, 132, 250, ./Images/airplane_043.jpg
0.004962583694367861, 6, 178, 173, 244, ./Images/airplane_043.jpg
0.020050125313283207, 55, 252, 160, 244, ./Images/airplane_043.jpg
0.14545454545454545, 117, 166, 64, 106, ./Images/airplane_043.jpg
0.3701923076923077, 104, 136, 98, 150, ./Images/airplane_043.jpg
1.0, 35, 80, 109, 151, ./Images/airplane_256.jpg
1.0, 74, 121, 153, 195, ./Images/airplane_256.jpg
1.0, 175, 204, 206, 229, ./Images/airplane_256.jpg
1.0, 10, 44, 163, 191, ./Images/airplane_256.jpg
1.0, 27, 85, 44, 75, ./Images/airplane_256.jpg
0.24327934546668892, 52, 166, 164, 212, ./Images/airplane_256.jpg
0.08905315029919042, 50, 85, 172, 204, ./Images/airplane_256.jpg
0.0009036144578313253, 112, 177, 31, 154, ./Images/airplane_256.jpg
